ans = binresneglr

Starting CRC sliding search over 32893 bits
Data 00015: 01101001111101010110010110110011100001110110101101001100
Data 00225: 01100100010001111101011001110011100000000000011011000000
Data 00435: 01101001001010001000110011110011100001110110101101001100
Data 00645: 01100100111000100110111111110011100000000000011011000000
Data 00855: 01101001100111101101110100001011100001110110101101001100
Data 01065: 01100100001101010000000110001011100000000000011011000000
Data 01275: 01101001011110111010001001001011100001110110101101001100
Data 01485: 01100100100010001101000011001011100000000000011011000000
Data 01695: 01101001110000100000101111001011100001110110101101001100
Data 01905: 01100100011011101010100100101011100000000000011011000000
Data 02115: 01101001000101010101101010101011100001110110101101001100
Data 02325: 01100100110110111111100001101011100000000000011011000000
Data 02535: 01101001101100001010011101101011100001110110101101001100
Data 02745: 01100100000000100101010111101011100000000000011011000000
Data 02955: 01101001010011101111011000011011100001110110101101001100
Data 03165: 01100100101001010010110010011011100000000000011011000000
Data 03375: 00101010010001111100010100011001000110100101000001111111
Data 03585: 01101000010100001111110101011011100001110110101101001100
Data 03795: 01100101001111000010000111011011100000000000011011000000
Data 04005: 01101000111101101001001000111011100001110110101101001100
Data 04215: 01100101100001010111000010111011100000000000011011000000
Data 04425: 01101000001010111100101110111011100001110110101101001100
Data 04635: 01100101011000001001100101111011100000000000011011000000
Data 04845: 01101000100111000111101011111011100001110110101101001100
Data 05055: 01100101110101101100010000000111100000000000011011000000
Data 05265: 01101000011110010001011100000111100001110110101101001100
Data 05475: 01100101000010111011010110000111100000000000011011000000
Data 05692: 10110001010011001010000000000000000000000000000000000000
Data 05902: 01101001101011000001110011000111100001110110101101001100
Data 06112: 01100100000101101011111111000111100000000000011011000000
Data 06322: 01101001010110010100001100100111100001110110101101001100
Data 06532: 01100100101100111110000110100111100000000000011011000000
Data 06742: 01101001111111110011001001100111100001110110101101001100
Data 06952: 01100100010011000100100011100111100000000000011011000000
Data 07162: 01101001001001101110101111100111100001110110101101001100
Data 07372: 01100100111010010011100100010111100000000000011011000000
Data 07582: 01101001100100111000011010010111100001110110101101001100
Data 07792: 01100100001111110110010001010111100000000000011011000000
Data 08002: 01101001011101000011011101010111100001110110101101001100
Data 08212: 01100100100001101000110111010111100000000000011011000000
Data 08422: 01101001110010010110111000110111100001110110101101001100
Data 08632: 01100100011000111101110010110111100000000000011011000000
Data 08842: 01101001000111110000000001110111100001110110101101001100
Data 09052: 01100100110101000110001101110111100000000000011011000000
Data 09262: 01101001101110101101000111110111100001110110101101001100
Data 09472: 01100100000010010000101000001111100000000000011011000000
Data 09682: 00101010010001111100011010001111011100110101110100000100
Data 09892: 01101000101011110101101110001111100001110110101101001100
Data 10102: 01100101111001000000010101001111100000000000011011000000
Data 10312: 01101000010110101010011011001111100001110110101101001100
Data 10522: 01100101001100010101010000101111100000000000011011000000
Data 10732: 01101000111111011111011100101111100001110110101101001100
Data 10942: 01100101100011110010110110101111100000000000011011000000
Data 11369: 01100101011010101111110011101111100000000000011011000000
Data 11579: 01101000100100010010000000011111100001110110101101001100
Data 11999: 10110000010011010100000000000000000000000000000000000000
Data 12209: 01101001000001000010101001011111100001110110101101001100
Data 12419: 01100100110010101001100011011111100000000000011011000000
Data 12629: 01101001101000010111101111011111100001110110101101001100
Data 12839: 10110000000000100011110000000000000000000000000000000000
Data 13049: 01100101010101110001011010111111100000000000011011000000
Data 13259: 01101000101110000111010001111111100001110110101101001100
Data 13469: 01100101111100101100111101111111100000000000011011000000
Data 13679: 01101000010000010001110111111111100001110110101101001100
Data 13889: 01100101001011011011111000000000010000000000011011000000
Data 14099: 01101000111001110100001010000000010001110110101101001100
Data 14309: 01100101100110000001000001000000010000000000011011000000
Data 14519: 01101000001100101011001101000000010001110110101101001100
Data 14729: 01100101011111100100100111000000010000000000011011000000
Data 14939: 01101000100011011110101000100000010001110110101101001100
Data 15149: 01100101110001110011100010100000010000000000011011000000
Data 15359: 01101000011010000100011110100000010001110110101101001100
Data 15569: 01100101000100101110010101100000010000000000011011000000
Data 15779: 01101000110111100011011011100000010001110110101101001100
Data 15989: 00101010010001111100010100011001000110100101000001111111
Data 16206: 01100100000001110110111100010000010000000000011011000000
Data 16416: 01101001010010000011110110010000010001110110101101001100
Data 16626: 01100100101000101000000101010000010000000000011011000000
Data 16836: 01101001111011100110001011010000010001110110101101001100
Data 17046: 01100100010101011101000000110000010000000000011011000000
Data 17256: 01101001001110110000101100110000010001110110101101001100
Data 17466: 01100100111100000110100110110000010000000000011011000000
Data 17683: 01101001100000101101101001110000010001110110101101001100
Data 17893: 01100100001011100000010011110000010000000000011011000000
Data 18103: 10110001010011001010000000000000000000000000000000000000
Data 18313: 01101000100110110101010100001000010001110110101101001100
Data 18523: 01100101110100000000111010001000010000000000011011000000
Data 18733: 01101000011111001010110001001000010001110110101101001100
Data 18943: 01100101000011100101111101001000010000000000011011000000
Data 19153: 01101000110001011111110111001000010001110110101101001100
Data 19363: 01100101101010110010000100101000010000000000011011000000
Data 19573: 01101000000100000101001010101000010001110110101101001100
Data 19783: 01100101010111001111000001101000010000000000011011000000
Data 19993: 01101000101101100010101101101000010001110110101101001100
Data 20203: 01100101111110011001100111101000010000000000011011000000
Data 20413: 01101000010010110111101000011000010001110110101101001100
Data 20623: 01100101001000000010010010011000010000000000011011000000
Data 20833: 01101000111011001001011110011000010001110110101101001100
Data 21043: 01100101100101100111010101011000010000000000011011000000
Data 21253: 01101000001110011100111011011000010001110110101101001100
Data 21463: 01100101011100110001110000111000010000000000011011000000
Data 21673: 01101000100000000111111100111000010001110110101101001100
Data 21883: 01100101110011001100001110111000010000000000011011000000
Data 22093: 00101010010001111100011010001111011100110101110100000100
Data 22303: 01101001000110011011001011111000010001110110101101001100
Data 22513: 01100100110100110100100000000100010000000000011011000000
Data 22723: 01101001101111111110101100000100010001110110101101001100
Data 22933: 01100100000011001011100110000100010000000000011011000000
Data 23143: 01101001010001100100011001000100010001110110101101001100
Data 23353: 01100100101010011110010011000100010000000000011011000000
Data 23563: 01101001111000110011011111000100010001110110101101001100
Data 23773: 01100100010111111000110100100100010000000000011011000000
Data 23983: 01101001001101001110111010100100010001110110101101001100
Data 24193: 01100100111110100011110001100100010000000000011011000000
Data 24403: 10110000010011010100000000000000000000000000000000000000
Data 24613: 01101000001000110110001111100100010001110110101101001100
Data 24823: 01100101011011111101000100010100010000000000011011000000
Data 25033: 01101000100101001000101010010100010001110110101101001100
Data 25243: 01100101110110100110100001010100010000000000011011000000
Data 25453: 01101000011100011101101101010100010001110110101101001100
Data 25663: 01100101000000110000010111010100010000000000011011000000
Data 25873: 01101000110011111010011000110100010001110110101101001100
Data 26083: 01100101101001001101010010110100010000000000011011000000
Data 26293: 01101000000110100000111110110100010001110110101101001100
Data 26503: 01100101010100011010110101110100010000000000011011000000
Data 26713: 01101000101111010101111011110100010001110110101101001100
Data 26923: 01100101111101111111110000001100010000000000011011000000
Data 27133: 01101000010001001010000010001100010001110110101101001100
Data 27343: 01100101001010100101001110001100010000000000011011000000
Data 27553: 01101000111000011111000101001100010001110110101101001100
Data 27763: 01100101100111010010101011001100010000000000011011000000
Data 27973: 01101000001101111001100000101100010001110110101101001100
Data 28393: 00101010010001111100010100011001000110100101000001111111
Data 28820: 01100100011011010111010011101100010000000000011011000000
Data 29030: 01101001000101111100111111101100010001110110101101001100
Data 29240: 01100100110110001001110100011100010000000000011011000000
Data 29450: 01101001101100100111111010011100010001110110101101001100
Data 29660: 01100100000000011100001001011100010000000000011011000000
Data 29870: 01101001010011010001000011011100010001110110101101001100
Data 30080: 01100100101001111011001111011100010000000000011011000000
Data 30290: 01101001111010001100100100111100010001110110101101001100
Data 30500: 01100100010100100001101010111100010000000000011011000000
Data 30710: 10110001010011001010000000000000000000000000000000000000
Data 30920: 01101000111101010100011101111100010001110110101101001100
Data 31130: 01100101100001111110010111111100010000000000011011000000
Data 31340: 01101000001010001011011000000010010001110110101101001100
Data 31760: 01101000100111101110111110000010010001110110101101001100
